ID,Title,Author,Fiction,Genre,Gender,Origin,Language,Pages,Year Published,Centuries,Nobel Prize
91,The Woman in Me,Britney Spears,Non-fiction,Autobiography,female,USA,English,288,2023,21st,
92,Theology of Tariq Ramadan: A Catholic Perspective,Gregory Baum,Non-fiction,Faith,male,Germany,English,178,2009,21st,
93,Travelog Minda Tajdid: Catatan Perjalanan Dari Tanah Barat,Mohd Asri Zainul Abidin,Non-fiction,Faith,male,Malaysia,Malay,224,2011,21st,
94,Tuesdays with Morrie,Mitch Albom,Non-fiction,Memoir,male,USA,English,210,1997,20th,
95,We Are All Stardust,Stefan Klein,Non-fiction,Science,male,German,Germany,288,2010,21st,
96,What I Believe,Tariq Ramadan,Non-fiction,Faith,male,Switzerland,English,148,2009,21st,
97,Why Evolution Is True,Jerry A. Coyne,Non-fiction,Science,male,USA,English,282,2008,21st,
98,Why I am not a Christian,Bertrand Russell,Non-fiction,Faith,male,UK,English,31,1957,20th,Lit (1950)
99,Wittgenstein's Conception of Philosophy,K.T. Fann,Non-fiction,Philosophy,male,Hong Kong,English,178,1970,20th,
100,Would You Eat Your Cat? ,Jeremy Stangroom,Non-fiction,Philosophy,male,UK,English,144,2010,21st,
